q
=== Instanța: test_flex_break_6_util0.95_ec0.08_v1.json (jobs=10, machines=10) ===
SPT => MS=4494.0, Idle_avg=846.20, Wait_avg=2056.41, T=0.130s
LPT => MS=6822.0, Idle_avg=1220.80, Wait_avg=3955.40, T=0.209s
FIFO => MS=5539.0, Idle_avg=1165.40, Wait_avg=2528.97, T=0.163s
LIFO => MS=5626.0, Idle_avg=1201.20, Wait_avg=3251.56, T=0.177s
SRPT => MS=5568.0, Idle_avg=1195.50, Wait_avg=2349.56, T=0.188s
OPR => MS=5578.0, Idle_avg=1209.60, Wait_avg=2412.89, T=0.165s
ECT => MS=5588.0, Idle_avg=1234.80, Wait_avg=2301.93, T=0.193s
LLM => MS=5539.0, Idle_avg=1165.40, Wait_avg=2528.97, T=0.168s
Random => MS=5406.0, Idle_avg=1090.60, Wait_avg=2925.87, T=0.160s

=== Instanța: test_flex_break_2_util0.95_ec0.08_v0.json (jobs=10, machines=10) ===
SPT => MS=5007.0, Idle_avg=1101.70, Wait_avg=2356.67, T=0.143s
LPT => MS=7116.0, Idle_avg=1276.20, Wait_avg=3873.46, T=0.220s
FIFO => MS=5883.0, Idle_avg=1198.60, Wait_avg=2701.85, T=0.173s
LIFO => MS=5699.0, Idle_avg=1095.40, Wait_avg=3322.64, T=0.169s
SRPT => MS=5832.0, Idle_avg=1138.60, Wait_avg=2599.85, T=0.190s
OPR => MS=5725.0, Idle_avg=1199.30, Wait_avg=2580.89, T=0.166s
ECT => MS=5630.0, Idle_avg=1143.40, Wait_avg=2526.22, T=0.179s
LLM => MS=5883.0, Idle_avg=1198.60, Wait_avg=2701.85, T=0.175s
Random => MS=5508.0, Idle_avg=1072.50, Wait_avg=2975.05, T=0.194s

=== Instanța: test_flex_break_7_util0.95_ec0.15_v1.json (jobs=10, machines=10) ===
SPT => MS=5241.0, Idle_avg=1191.90, Wait_avg=2332.59, T=0.155s
LPT => MS=6883.0, Idle_avg=1217.30, Wait_avg=4191.24, T=0.206s
FIFO => MS=5814.0, Idle_avg=1206.50, Wait_avg=2623.73, T=0.175s
LIFO => MS=5800.0, Idle_avg=1099.10, Wait_avg=3141.81, T=0.185s
SRPT => MS=5763.0, Idle_avg=1228.30, Wait_avg=2618.07, T=0.185s
OPR => MS=5734.0, Idle_avg=1222.80, Wait_avg=2577.48, T=0.170s
ECT => MS=5850.0, Idle_avg=1251.50, Wait_avg=2616.86, T=0.193s
LLM => MS=5814.0, Idle_avg=1206.50, Wait_avg=2623.73, T=0.177s
Random => MS=5735.0, Idle_avg=1142.20, Wait_avg=2760.68, T=0.176s

=== Instanța: test_flex_break_3_util0.95_ec0.15_v0.json (jobs=10, machines=10) ===
SPT => MS=4450.0, Idle_avg=835.80, Wait_avg=2214.37, T=0.129s
LPT => MS=7027.0, Idle_avg=1261.50, Wait_avg=4415.22, T=0.224s
FIFO => MS=5730.0, Idle_avg=1158.50, Wait_avg=2679.82, T=0.172s
LIFO => MS=5706.0, Idle_avg=1106.50, Wait_avg=3726.00, T=0.182s
SRPT => MS=5749.0, Idle_avg=1156.90, Wait_avg=2500.76, T=0.205s
OPR => MS=5725.0, Idle_avg=1153.00, Wait_avg=2473.43, T=0.173s
ECT => MS=5560.0, Idle_avg=1189.60, Wait_avg=2394.98, T=0.194s
LLM => MS=5730.0, Idle_avg=1158.50, Wait_avg=2679.82, T=0.172s
Random => MS=5538.0, Idle_avg=1092.70, Wait_avg=3138.06, T=0.167s

=== Instanța: test_flex_break_0_util0.75_ec0.08_v0.json (jobs=10, machines=10) ===
SPT => MS=5820.0, Idle_avg=1631.70, Wait_avg=2921.09, T=0.166s
LPT => MS=6833.0, Idle_avg=1441.20, Wait_avg=3388.03, T=0.191s
FIFO => MS=6345.0, Idle_avg=1630.60, Wait_avg=3031.00, T=0.181s
LIFO => MS=6211.0, Idle_avg=1545.60, Wait_avg=3329.23, T=0.176s
SRPT => MS=6348.0, Idle_avg=1607.80, Wait_avg=2995.78, T=0.196s
OPR => MS=6303.0, Idle_avg=1522.60, Wait_avg=2990.07, T=0.184s
ECT => MS=6249.0, Idle_avg=1604.50, Wait_avg=2966.35, T=0.188s
LLM => MS=6345.0, Idle_avg=1630.60, Wait_avg=3031.00, T=0.181s
Random => MS=6209.0, Idle_avg=1573.10, Wait_avg=3106.41, T=0.178s

=== Instanța: test_flex_break_4_util0.75_ec0.08_v1.json (jobs=10, machines=10) ===
SPT => MS=5728.0, Idle_avg=1519.50, Wait_avg=2562.69, T=0.169s
LPT => MS=6844.0, Idle_avg=1238.10, Wait_avg=3751.29, T=0.198s
FIFO => MS=5851.0, Idle_avg=1281.50, Wait_avg=2652.67, T=0.171s
LIFO => MS=5804.0, Idle_avg=1255.40, Wait_avg=2775.03, T=0.167s
SRPT => MS=5885.0, Idle_avg=1306.90, Wait_avg=2646.60, T=0.179s
OPR => MS=5854.0, Idle_avg=1248.20, Wait_avg=2679.33, T=0.169s
ECT => MS=5929.0, Idle_avg=1372.20, Wait_avg=2615.90, T=0.185s
LLM => MS=5851.0, Idle_avg=1281.50, Wait_avg=2652.67, T=0.170s
Random => MS=5758.0, Idle_avg=1245.90, Wait_avg=2738.95, T=0.163s

=== Instanța: test_flex_break_1_util0.75_ec0.15_v0.json (jobs=10, machines=10) ===
SPT => MS=5693.0, Idle_avg=1496.90, Wait_avg=2630.13, T=0.167s
LPT => MS=6894.0, Idle_avg=1206.90, Wait_avg=3861.75, T=0.199s
FIFO => MS=5757.0, Idle_avg=1286.00, Wait_avg=2701.14, T=0.168s
LIFO => MS=5672.0, Idle_avg=1221.50, Wait_avg=2792.52, T=0.160s
SRPT => MS=5732.0, Idle_avg=1246.30, Wait_avg=2720.54, T=0.166s
OPR => MS=5897.0, Idle_avg=1260.10, Wait_avg=2737.65, T=0.169s
ECT => MS=5753.0, Idle_avg=1257.90, Wait_avg=2707.65, T=0.168s
LLM => MS=5757.0, Idle_avg=1286.00, Wait_avg=2701.14, T=0.167s
